,title,artist,year,bpm,en,dnce,loud,live,val,dur,acous,speech,pop
1949,Gimme Shelter,The Rolling Stones,1969,119,63,63,-8,17,49,271,45,3,76
1950,Suspicious Minds,Elvis Presley,1969,117,38,49,-11,41,71,261,4,3,72
1951,Whole Lotta Love - 1990 Remaster,Led Zeppelin,1969,90,90,41,-12,41,42,334,5,41,76
1952,Sweet Caroline,Neil Diamond,1969,63,13,53,-16,24,58,204,61,3,78
1953,Fortunate Son,Creedence Clearwater Revival,1969,133,66,64,-8,15,66,141,20,4,80
1954,In the Ghetto,Elvis Presley,1969,89,27,40,-17,11,49,167,72,3,63
1955,Bad Moon Rising,Creedence Clearwater Revival,1969,179,77,51,-6,6,94,142,6,3,77
1956,You Can't Always Get What You Want,The Rolling Stones,1969,86,62,32,-10,25,47,449,64,6,67
1957,With A Little Help From My Friends,Joe Cocker,1969,145,43,31,-11,10,31,312,29,6,69
1958,My Way,Frank Sinatra,1969,75,38,40,-7,12,23,277,70,3,73
1959,Come Together - Remastered 2009,The Beatles,1969,165,38,53,-12,9,19,260,3,4,79
1960,Something - Remastered 2009,The Beatles,1969,134,34,40,-11,14,38,182,20,3,72
1961,Albatross - 2018 Remaster,Fleetwood Mac,1969,136,6,32,-22,14,26,191,83,4,50
1962,Just A Little Bit Of Peace In My Heart,Golden Earring,1969,95,72,27,-6,6,26,320,1,3,42
1963,Venus,Shocking Blue,1969,128,76,69,-6,8,96,188,46,4,59
1964,Son of a Preacher Man,Dusty Springfield,1969,182,50,40,-11,13,82,149,39,8,61
1965,Pinball Wizard,The Who,1969,124,72,54,-9,26,47,181,2,4,69
1966,Marian,The Cats,1969,80,45,39,-10,19,39,240,0,3,46
1967,Proud Mary,Creedence Clearwater Revival,1969,121,39,72,-17,5,79,187,16,3,60
1968,Beautiful People,Melanie,1969,129,44,54,-9,40,37,215,61,5,44
1969,Oh Well (Pt. 1) - 2013 Remaster,Fleetwood Mac,1969,103,59,47,-10,14,22,202,20,14,41
1970,Born On The Bayou,Creedence Clearwater Revival,1969,117,39,68,-16,11,55,315,7,5,59
1971,Scarlet Ribbons,The Cats,1969,101,42,48,-10,14,47,197,9,3,44
1972,The Thrill Is Gone,B.B. King,1969,91,46,55,-9,10,54,325,34,3,60
1973,Dazed and Confused,Led Zeppelin,1969,87,55,27,-10,10,43,386,4,5,63
1974,Overture,The Who,1969,118,62,48,-10,14,19,320,6,3,43
1975,Streets of London,Ralph McTell,1969,156,30,40,-15,10,19,249,63,3,57
1976,Down On The Corner,Creedence Clearwater Revival,1969,108,54,86,-9,7,87,166,58,8,73
1977,Appleknockers Flophouse,Cuby & The Blizzards,1969,197,71,31,-9,26,67,151,0,10,34
1978,The First Time Ever I Saw Your Face,Roberta Flack,1969,121,3,31,-22,16,14,261,73,4,64
1979,Touch Me,The Doors,1969,109,90,43,-5,12,77,190,41,7,68
1980,Summertime,Brainbox,1969,89,55,38,-9,31,25,263,4,3,36
1981,Midnight Rambler,The Rolling Stones,1969,75,66,40,-10,17,51,413,77,12,50
